Event,Time_Delta,Coefficients,Intercept,R_squared,Explained_Variance_Ratio
Durables Excluding Transport (MoM),60,[0.12185447 0.23741799],0.12388942928255865,0.010526893288403394,[0.83149467 0.16850533]
Employment Cost Index,5,[-0.0088275   0.85329763],0.1282744424605428,-0.6435830044588826,[0.99875896 0.00124104]
Employment Cost Index,15,[-0.0668497   0.93996055],0.08773546584649451,-0.9954715177321001,[0.99875896 0.00124104]
Employment Cost Index,30,[-0.16960196  3.19679692],0.13557320686937605,-2.4636436910934156,[0.99875896 0.00124104]
Employment Cost Index,60,[-0.11008907  0.71575375],0.1321861759888633,-0.38644691387686336,[0.99875896 0.00124104]
Employment Wages,5,[0.00961207 0.10380102],0.1282744424605428,-0.0830070497439217,[0.6274484 0.3725516]
Employment Wages,15,[-0.03606148  0.18066003],0.0877354658464945,-0.4160606394340127,[0.6274484 0.3725516]
Employment Wages,30,[-0.12021465  0.365873  ],0.13557320686937602,-0.5072514372967998,[0.6274484 0.3725516]
Employment Wages,60,[-0.0805431   0.22468331],0.1321861759888633,-0.37756332986779406,[0.6274484 0.3725516]
Existing Home Sales,5,[-0.02312673 -0.31792568],0.037521691521249775,-66299193078.26126,[0.94821248 0.05178752]
Existing Home Sales,15,[-0.0113256 -0.9579938],0.13301862483131371,-97327702139.54411,[0.94821248 0.05178752]
Existing Home Sales,30,[-0.03234646 -1.14077429],0.11425912497445374,-94003899502.44264,[0.94821248 0.05178752]
Existing Home Sales,60,[-0.0752986  -0.85246539],0.07458057175578563,-29098859952.918457,[0.94821248 0.05178752]
Existing Home Sales (MoM),5,[-0.05388244  0.07659104],0.037521691521249755,-0.9884568871025041,[0.92616851 0.07383149]
Existing Home Sales (MoM),15,[-0.06398021  0.87429112],0.13301862483131366,-45.00197286077338,[0.92616851 0.07383149]
Existing Home Sales (MoM),30,[-0.03323968  1.15837249],0.11425912497445369,-55.410282030102515,[0.92616851 0.07383149]
Existing Home Sales (MoM),60,[0.00825901 1.14812487],0.0745805717557856,-27.99916279238109,[0.92616851 0.07383149]
Export Price Index (MoM),5,[-0.03601845 -0.10336768],0.08813802201854068,-0.10341963305569313,[0.83587655 0.16412345]
Export Price Index (MoM),15,[-0.06250901 -0.19541457],0.04424130451358011,-0.05832201191426267,[0.83587655 0.16412345]
Export Price Index (MoM),30,[-0.09404066 -0.23937669],0.0709198942181556,-0.05036484929928764,[0.83587655 0.16412345]
Export Price Index (MoM),60,[-0.02425551  0.00469758],0.08550250655470795,0.002220476573144392,[0.83587655 0.16412345]
Export Price Index (YoY),5,[-0.01099333 -0.00745578],0.08813802201854068,-0.16636206394985953,[0.85575186 0.14424814]
Export Price Index (YoY),15,[-0.00420975 -0.09713275],0.04424130451358012,-1.2738435065420082,[0.85575186 0.14424814]
Export Price Index (YoY),30,[ 0.0118706  -0.15627619],0.07091989421815562,-2.5263498113682443,[0.85575186 0.14424814]
Export Price Index (YoY),60,[-0.03526001 -0.18526967],0.08550250655470795,-2.4310767933854196,[0.85575186 0.14424814]
Exports,5,[-0.06674416 -0.07968984],-0.08042192916418717,-1.5897566434974579e+22,[0.70532355 0.29467645]
Exports,15,[-0.04874915 -0.06108584],-0.05384292041078967,-4.065063394645369e+21,[0.70532355 0.29467645]
Exports,30,[-0.01000022 -0.03261896],0.018345196840201528,-1.3573446973083655e+21,[0.70532355 0.29467645]
Exports,60,[-0.11219836 -0.00072157],0.12128342986520912,-1.3403268307152074e+18,[0.70532355 0.29467645]
Factory Orders (MoM),5,[-0.21151554  0.1942682 ],-0.05626096398936182,0.32734190768337246,[0.62719042 0.37280958]
Factory Orders (MoM),15,[-0.18980194  0.24075884],0.031152780741754243,0.6660036520445509,[0.62719042 0.37280958]
Factory Orders (MoM),30,[-0.5231732   0.32951561],0.0413140179322155,0.39343245562389273,[0.62719042 0.37280958]
Factory Orders (MoM),60,[-0.50029033  0.14381921],0.12388942928255871,0.2354326038673128,[0.62719042 0.37280958]
Factory orders ex transportation (MoM),5,[0.09037735 0.144602  ],-0.05626096398936185,-0.22138696196569874,[0.82486953 0.17513047]
Factory orders ex transportation (MoM),15,[0.02849438 0.05618345],0.03115278074175422,-0.0499383069641548,[0.82486953 0.17513047]
Factory orders ex transportation (MoM),30,[0.0662909  0.16902135],0.041314017932215445,-0.050861816030530305,[0.82486953 0.17513047]
Factory orders ex transportation (MoM),60,[0.0998983  0.14894835],0.12388942928255865,-0.07222901532165094,[0.82486953 0.17513047]
Fed Interest Rate Decision,5,[-0.06291742  0.        ],0.03715784874842485,0.013223007334263293,[1. 0.]
Fed Interest Rate Decision,15,[-0.06160131  0.        ],-0.12211284355163701,0.006025171668651019,[1. 0.]
Fed Interest Rate Decision,30,[-0.124575  0.      ],-0.22955573781826538,0.028733253577020612,[1. 0.]
Fed Interest Rate Decision,60,[-0.3454193  0.       ],0.1259588914794725,0.019926038123892376,[1. 0.]
Fed's Balance Sheet,5,[ 0.01223862 -0.01675244],0.008248710465832955,-4.461456611593924e+23,[0.57883104 0.42116896]
Fed's Balance Sheet,15,[0.03692805 0.0350867 ],0.001995212398054159,-1.1411729252771283e+24,[0.57883104 0.42116896]
Fed's Balance Sheet,30,[0.02552057 0.00916222],0.028619340143524227,-4.910012302673426e+22,[0.57883104 0.42116896]
Fed's Balance Sheet,60,[ 0.05743836 -0.05163934],0.051870176761083825,-8.220409744350199e+23,[0.57883104 0.42116896]
Federal Budget Balance,5,[-0.01473097  0.00944554],-0.00266990373507999,-3.1624654048549765e+20,[0.63035703 0.36964297]
Federal Budget Balance,15,[-0.00298824 -0.12119377],0.0754466566719092,-4.3465703397899475e+20,[0.63035703 0.36964297]
Federal Budget Balance,30,[ 0.04170974 -0.06783669],0.021345872585735087,-1.1252798116994584e+21,[0.63035703 0.36964297]
Federal Budget Balance,60,[-0.02178333 -0.02381605],0.15088048682262262,-1.494415032384046e+20,[0.63035703 0.36964297]
GDP,5,[ 0.00633082 -0.01130838],0.06121939622794392,0.0013006850210652843,[0.58413602 0.41586398]
GDP,15,[-0.09929266  0.01957823],-0.05928875061455666,-1.009952078014817,[0.58413602 0.41586398]
GDP,30,[-0.07844306  0.06545353],0.03688919899377395,-0.11507124610349195,[0.58413602 0.41586398]
GDP,60,[-0.13964134  0.22666953],-0.03192520596430813,0.043525290851953,[0.58413602 0.41586398]
GDP Price Index,5,[-0.00189975 -0.06418567],0.06121939622794392,-0.043517592363759405,[0.75683149 0.24316851]
GDP Price Index,15,[ 0.00771388 -0.0504209 ],-0.05928875061455666,-0.035941367531043156,[0.75683149 0.24316851]
GDP Price Index,30,[-0.02230837 -0.14268649],0.03688919899377396,-0.0383292276369791,[0.75683149 0.24316851]
GDP Price Index,60,[-0.10343704 -0.36014054],-0.03192520596430812,-0.014042114084157342,[0.75683149 0.24316851]
GDP Sales,5,[ 0.00546681 -0.00755998],0.06121939622794392,-0.012966942711955642,[0.66526477 0.33473523]
GDP Sales,15,[-0.01887763 -0.03790349],-0.05928875061455666,0.005442776304806163,[0.66526477 0.33473523]
