Event,Time_Delta,Coefficients,Intercept,R_squared
ISM Non-Manufacturing Prices,30,[-0.18628712 -0.06274121],-0.22603634149391238,0.07433529862265209
ISM Non-Manufacturing Prices,60,[-0.21898133 -0.08246076],-0.24417510725404223,0.08950655718013345
Import Price Index (MoM),5,[ 0.02039518 -0.00828057],0.08813802201854068,0.03418268089306009
Import Price Index (MoM),15,[ 0.06833862 -0.11201082],0.044241304513580125,0.08567329269635005
Import Price Index (MoM),30,[ 0.0930097  -0.10646125],0.07091989421815562,0.10623875132833394
Import Price Index (MoM),60,[ 0.04488413 -0.25693731],0.08550250655470795,0.09417488350060688
Import Price Index (YoY),5,[-0.02447618  0.05549254],0.07065510716558465,0.07541297627558252
Import Price Index (YoY),15,[-0.04966941 -0.03957651],0.045504438794582575,0.03186970173939008
Import Price Index (YoY),30,[-0.08805637 -0.05491703],0.07724294426851994,0.0811029836195688
Import Price Index (YoY),60,[-0.04687452 -0.31468246],0.11596788778970733,0.1111409869246125
Industrial Production (MoM),5,[-0.01579746  0.03527667],-0.022049978380740992,0.04100132964292169
Industrial Production (MoM),15,[ 0.02911528 -0.18864918],-0.03293172190153075,0.23247029176416267
Industrial Production (MoM),30,[ 0.02489537 -0.09766899],0.011405073068260965,0.024676103852507958
Industrial Production (MoM),60,[-0.01057311 -0.18250558],0.07871620400560689,0.16971938321192814
Industrial Production (YoY),5,[-0.02083324 -0.04919864],-0.022049978380740992,0.1307135839791047
Industrial Production (YoY),15,[0.07999289 0.00451214],-0.03293172190153074,0.09898577663889507
