Event,Time_Delta,"Coefficients(actual-pre, actual-forec",Intercept,R_squared
ISM Manufacturing Prices,15,[-0.1218047   0.16037922],-0.04688359145388643,0.14168003805468732
ISM Manufacturing Prices,30,[-0.14168667  0.22000621],-0.07947746098336358,0.14597919793399594
ISM Manufacturing Prices,60,[-0.64763972  0.53014742],-0.29211391956107474,0.19884838418377093
ISM Non-Manufacturing Business Activity,5,[-0.0624292  -0.18115884],-0.157495538910786,0.1623311510936084
ISM Non-Manufacturing Business Activity,15,[-0.07144761 -0.05199347],-0.10931613130743609,0.04573588295028952
ISM Non-Manufacturing Business Activity,30,[-0.13947402 -0.18627413],-0.2260363414939124,0.09359943500260715
ISM Non-Manufacturing Business Activity,60,[-0.17964497 -0.25292326],-0.24417510725404226,0.1422499747163799
ISM Non-Manufacturing Employment,5,[-0.05419503  0.03808916],-0.15749553891078596,0.013738929210043382
ISM Non-Manufacturing Employment,15,[-0.08585875  0.13321913],-0.1093161313074361,0.10489870086182085
ISM Non-Manufacturing Employment,30,[-0.12246737  0.20126565],-0.2260363414939124,0.06903349200106934
ISM Non-Manufacturing Employment,60,[-0.18978471  0.25277438],-0.24417510725404226,0.10312457750216064
ISM Non-Manufacturing New Orders,5,[-0.0411013   0.01748405],-0.15749553891078596,0.0074426618712166714
ISM Non-Manufacturing New Orders,15,[0.00178147 0.12043753],-0.1093161313074361,0.0840558766417836
ISM Non-Manufacturing New Orders,30,[0.04043743 0.1672446 ],-0.2260363414939124,0.0549896405093665
ISM Non-Manufacturing New Orders,60,[0.03204637 0.19916171],-0.24417510725404226,0.06292151754904018
ISM Non-Manufacturing PMI,5,[ 0.07249873 -0.1290843 ],-0.15749553891078596,0.024584135342815228
ISM Non-Manufacturing PMI,15,[-0.01739143 -0.02454483],-0.10931613130743609,0.009492145174776034
ISM Non-Manufacturing PMI,30,[ 0.00274114 -0.0426258 ],-0.22603634149391238,0.002754320244431674
ISM Non-Manufacturing PMI,60,[-0.15333146  0.08423701],-0.24417510725404223,0.011792747148205773
ISM Non-Manufacturing Prices,5,[0.10398889 0.01302396],-0.15749553891078596,0.04999473652207098
ISM Non-Manufacturing Prices,15,[-0.0027585   0.11796898],-0.1093161313074361,0.0795660378994143
ISM Non-Manufacturing Prices,30,[0.08736015 0.17608962],-0.2260363414939124,0.07433529862265209
ISM Non-Manufacturing Prices,60,[0.09653462 0.21315174],-0.24417510725404226,0.08950655718013323
Import Price Index (MoM),5,[-0.00856632 -0.02027682],0.08813802201854068,0.03418268089306009
Import Price Index (MoM),15,[ 0.03088091 -0.12752631],0.044241304513580125,0.08567329269635027
Import Price Index (MoM),30,[ 0.00951168 -0.14104726],0.07091989421815562,0.10623875132833394
Import Price Index (MoM),60,[ 0.14994424 -0.21341999],0.08550250655470795,0.09417488350060688
Import Price Index (YoY),5,[ 0.02193188 -0.05654642],0.07065510716558465,0.07541297627558241
Import Price Index (YoY),15,[-0.06310639 -0.00713676],0.04550443879458257,0.03186970173939008
Import Price Index (YoY),30,[-0.10109745 -0.02343305],0.07724294426851994,0.0811029836195688
